import time: self [us] | cumulative | imported package
import time:       278 |        278 |   _io
import time:        39 |         39 |   marshal
import time:       304 |        304 |   posix
import time:       328 |        948 | _frozen_importlib_external
import time:        97 |         97 |   time
import time:       114 |        210 | zipimport
import time:        52 |         52 |     _codecs
import time:       331 |        383 |   codecs
import time:       466 |        466 |   encodings.aliases
import time:       505 |       1353 | encodings
import time:       189 |        189 | encodings.utf_8
import time:        95 |         95 | _signal
import time:        33 |         33 |     _abc
import time:       124 |        157 |   abc
import time:       198 |        354 | io
import time:        42 |         42 |       _stat
import time:        60 |        102 |     stat
import time:       894 |        894 |     _collections_abc
import time:        49 |         49 |       genericpath
import time:        79 |        127 |     posixpath
import time:       331 |       1452 |   os
import time:        70 |         70 |   _sitebuiltins
import time:       605 |        605 |   _virtualenv
import time:       279 |        279 |   _distutils_hack
import time:        62 |         62 |     apport_python_hook
import time:       152 |        213 |   sitecustomize
import time:      1375 |       3992 | site
import time:       149 |        149 |     __future__
import time:       281 |        281 |           types
import time:        90 |         90 |             _operator
import time:       370 |        459 |           operator
import time:       215 |        215 |               itertools
import time:       162 |        162 |               keyword
import time:       197 |        197 |               reprlib
import time:        77 |         77 |               _collections
import time:       800 |       1449 |             collections
import time:        60 |         60 |             _functools
import time:       695 |       2203 |           functools
import time:      1469 |       4412 |         enum
import time:        75 |         75 |           _sre
import time:       279 |        279 |             re._constants
import time:       490 |        769 |           re._parser
import time:       123 |        123 |           re._casefix
import time:       454 |       1419 |         re._compiler
import time:       170 |        170 |         copyreg
import time:       516 |       6515 |       re
import time:       151 |        151 |         collections.abc
import time:       238 |        238 |             token
import time:        44 |         44 |             _tokenize
import time:      1014 |       1295 |           tokenize
import time:       147 |       1441 |         linecache
import time:       961 |        961 |         textwrap
import time:       647 |        647 |         contextlib
import time:       643 |       3841 |       traceback
import time:      1110 |       1110 |       warnings
import time:       217 |        217 |         _weakrefset
import time:       464 |        681 |       weakref
import time:        42 |         42 |         _string
import time:       616 |        657 |       string
import time:       712 |        712 |       threading
import time:        56 |         56 |       atexit
import time:      2127 |      15695 |     logging
import time:       188 |        188 |       _datetime
import time:       146 |        334 |     datetime
import time:       209 |        209 |         _socket
import time:        88 |         88 |           math
import time:        64 |         64 |           select
import time:       689 |        841 |         selectors
import time:        77 |         77 |         errno
import time:       117 |        117 |         array
import time:      1613 |       2855 |       socket
import time:       177 |        177 |           _struct
import time:       139 |        315 |         struct
import time:       309 |        309 |         _compat_pickle
import time:       112 |        112 |         _pickle
import time:       883 |       1618 |       pickle
import time:        47 |         47 |           _heapq
import time:       211 |        258 |         heapq
import time:       196 |        196 |         _queue
import time:       288 |        741 |       queue
import time:       202 |        202 |       copy
import time:       806 |       6219 |     logging.handlers
import time:       155 |        155 |       fnmatch
import time:       124 |        124 |         urllib
import time:      1396 |       1396 |         ipaddress
import time:      1061 |       2580 |       urllib.parse
import time:       157 |        157 |         _winapi
import time:        57 |         57 |         nt
import time:        51 |         51 |         nt
import time:        51 |         51 |         nt
import time:        46 |         46 |         nt
import time:        46 |         46 |         nt
import time:        53 |         53 |         nt
import time:       128 |        585 |       ntpath
import time:       791 |       4109 |     pathlib
import time:       147 |        147 |             IPython.core
import time:       175 |        321 |           IPython.core.getipython
import time:        96 |         96 |           IPython.core.release
import time:        98 |         98 |               zlib
import time:       242 |        242 |                 _compression
import time:       289 |        289 |                 _bz2
import time:       387 |        917 |               bz2
import time:       345 |        345 |                 _lzma
import time:       286 |        631 |               lzma
import time:       782 |       2427 |             shutil
import time:        52 |         52 |                     _typing
import time:      2685 |       2737 |                   typing
import time:      1244 |       1244 |                         _ast
import time:      1500 |       2744 |                       ast
import time:        40 |         40 |                           _opcode
import time:       487 |        527 |                         opcode
import time:       953 |       1479 |                       dis
import time:       239 |        239 |                         importlib
import time:        89 |        327 |                       importlib.machinery
import time:      2578 |       7126 |                     inspect
import time:       177 |        177 |                       traitlets.utils
import time:       290 |        466 |                     traitlets.utils.bunch
import time:       150 |        150 |                     traitlets.utils.descriptions
import time:       116 |        116 |                     traitlets.utils.getargspec
import time:        98 |         98 |                     traitlets.utils.importstring
import time:       118 |        118 |                     traitlets.utils.sentinel
import time:       116 |        116 |                     traitlets.utils.warnings
import time:      4569 |      12756 |                   traitlets.traitlets
import time:       297 |        297 |                   traitlets._version
import time:       152 |        152 |                   traitlets.utils.decorators
import time:       301 |      16241 |                 traitlets
import time:       235 |        235 |                         _json
import time:       486 |        721 |                       json.scanner
import time:       422 |       1142 |                     json.decoder
import time:       453 |        453 |                     json.encoder
import time:       232 |       1827 |                   json
import time:       693 |        693 |                     dataclasses
import time:       381 |       1073 |                   pprint
import time:       675 |        675 |                     socketserver
import time:      1364 |       2038 |                   logging.config
import time:       191 |        191 |                     traitlets.utils.text
import time:      1085 |       1085 |                         gettext
import time:      1317 |       2402 |                       argparse
import time:      1496 |       3898 |                     traitlets.config.loader
import time:      1074 |       5161 |                   traitlets.config.configurable
import time:       138 |        138 |                   traitlets.utils.nested_update
import time:      1247 |      11482 |                 traitlets.config.application
import time:       168 |      27889 |               traitlets.config
import time:        26 |      27914 |             traitlets.config.application
import time:      1333 |       1333 |                       html.entities
import time:       415 |       1747 |                     html
import time:       816 |        816 |                         executing._utils
import time:       303 |        303 |                           executing._exceptions
import time:       729 |       1031 |                         executing._position_node_finder
import time:       921 |       2768 |                       executing.executing
import time:       181 |        181 |                       executing._pytest_utils
import time:       126 |        126 |                       executing.version
import time:       357 |       3429 |                     executing
import time:        60 |         60 |                             _bisect
import time:       158 |        218 |                           bisect
import time:       253 |        470 |                         asttokens.line_numbers
import time:        94 |         94 |                               astroid
import time:        43 |        137 |                             astroid.nodes
import time:      1965 |       2101 |                           asttokens.util
import time:       358 |       2459 |                         asttokens.asttokens
import time:       204 |       3131 |                       asttokens
import time:        25 |       3156 |                     asttokens.util
import time:       496 |        496 |                                 numbers
import time:       885 |       1380 |                               _decimal
import time:       157 |       1537 |                             decimal
import time:      1756 |       1756 |                             fractions
import time:       345 |       3637 |                           pure_eval.utils
import time:       170 |       3807 |                         pure_eval.my_getattr_static
import time:       456 |       4262 |                       pure_eval.core
import time:       119 |        119 |                       pure_eval.version
import time:       197 |       4577 |                     pure_eval
import time:       519 |        519 |                     stack_data.utils
import time:      1573 |      15000 |                   stack_data.core
import time:       350 |        350 |                   stack_data.formatting
import time:       273 |        273 |                   stack_data.serializing
import time:       134 |        134 |                   stack_data.version
import time:       260 |      16015 |                 stack_data
import time:       172 |        172 |                     pygments
import time:       279 |        279 |                     pygments.formatters._mapping
import time:        80 |         80 |                           _csv
import time:       364 |        444 |                         csv
import time:       146 |        146 |                         email
import time:       100 |        100 |                           binascii
import time:       182 |        182 |                             importlib._abc
import time:       136 |        318 |                           importlib.util
import time:       134 |        134 |                             zipfile._path.glob
import time:       393 |        526 |                           zipfile._path
import time:      1050 |       1992 |                         zipfile
import time:       178 |        178 |                             quopri
import time:        55 |         55 |                                 _random
import time:        65 |         65 |                                 _sha2
import time:       450 |        569 |                               random
import time:       108 |        108 |                                     _locale
import time:      1510 |       1618 |                                   locale
import time:      1106 |       2724 |                                 calendar
import time:       300 |       3023 |                               email._parseaddr
import time:       407 |        407 |                                   base64
import time:       144 |        551 |                                 email.base64mime
import time:       261 |        261 |                                 email.quoprimime
import time:       670 |        670 |                                 email.errors
import time:       136 |        136 |                                 email.encoders
import time:       267 |       1884 |                               email.charset
import time:       545 |       6020 |                             email.utils
import time:       693 |        693 |                               email.header
import time:       376 |       1069 |                             email._policybase
import time:       298 |        298 |                             email._encoded_words
import time:       131 |        131 |                             email.iterators
import time:       673 |       8367 |                           email.message
import time:        96 |         96 |                             importlib.metadata._functools
import time:       165 |        261 |                           importlib.metadata._text
import time:       486 |       9113 |                         importlib.metadata._adapters
import time:       432 |        432 |                         importlib.metadata._meta
import time:       297 |        297 |                         importlib.metadata._collections
import time:       129 |        129 |                         importlib.metadata._itertools
import time:       614 |        614 |                               tempfile
import time:       405 |        405 |                               importlib.resources.abc
import time:       311 |        311 |                               importlib.resources._adapters
import time:       440 |       1768 |                             importlib.resources._common
import time:       210 |        210 |                             importlib.resources._legacy
import time:       145 |       2122 |                           importlib.resources
import time:       415 |       2537 |                         importlib.abc
import time:      1363 |      16447 |                       importlib.metadata
import time:       134 |      16580 |                     pygments.plugin
import time:       768 |        768 |                     pygments.util
import time:       267 |      18064 |                   pygments.formatters
import time:       191 |        191 |                       pygments.styles._mapping
import time:       160 |        350 |                     pygments.styles
import time:       145 |        495 |                   pygments.formatter
import time:       195 |        195 |                   pygments.console
import time:       420 |        420 |                     pygments.token
import time:       338 |        758 |                   pygments.style
import time:       270 |      19779 |                 pygments.formatters.terminal256
import time:       154 |        154 |                 IPython.utils
import time:       311 |        311 |                   glob
import time:      1556 |       1556 |                         signal
import time:       107 |        107 |                         fcntl
import time:        87 |         87 |                         msvcrt
import time:        35 |         35 |                         _posixsubprocess
import time:       702 |       2485 |                       subprocess
import time:       300 |        300 |                         shlex
import time:        82 |         82 |                             _wmi
import time:       678 |        759 |                           platform
import time:       143 |        143 |                           IPython.utils.encoding
import time:       528 |       1429 |                         IPython.utils.py3compat
import time:       250 |       1979 |                       IPython.utils._process_common
import time:       170 |       4633 |                     IPython.utils._process_posix
import time:       145 |       4777 |                   IPython.utils.process
import time:       290 |       5376 |                 IPython.utils.path
import time:       441 |        441 |                   pygments.styles.monokai
import time:       375 |        375 |                   pygments.styles.default
import time:       338 |        338 |                   pygments.styles.pastie
import time:       496 |        496 |                   pygments.styles.gruvbox
import time:     14365 |      16013 |                 IPython.utils.PyColorize
import time:       176 |        176 |                 IPython.utils.terminal
import time:       303 |        303 |                 IPython.core.display_trap
import time:       365 |        365 |                       pkgutil
import time:       459 |        459 |                       sysconfig
import time:       638 |        638 |                       _sysconfigdata__x86_64-linux-gnu
import time:      1928 |       3389 |                     pydoc
import time:       201 |        201 |                         codeop
import time:       274 |        475 |                       IPython.core.debugger_backport
import time:       248 |        248 |                         cmd
import time:       476 |        476 |                         bdb
import time:       273 |        273 |                         code
import time:       832 |       1827 |                       pdb
import time:       606 |       2907 |                     IPython.core.debugger
import time:       461 |       6756 |                   IPython.core.tbtools
import time:       307 |       7063 |                 IPython.core.doctb
import time:       662 |      65538 |               IPython.core.ultratb
import time:        89 |         89 |                 IPython.utils._sysinfo
import time:       172 |        261 |               IPython.utils.sysinfo
import time:       295 |      66094 |             IPython.core.crashhandler
import time:       103 |        103 |                 IPython.utils.importstring
import time:       196 |        299 |               IPython.paths
import time:       596 |        895 |             IPython.core.profiledir
import time:       840 |      98167 |           IPython.core.application
import time:       124 |        124 |             IPython.terminal
import time:      2106 |       2106 |                 _hashlib
import time:       758 |        758 |                 _blake2
import time:       274 |       3137 |               hashlib
import time:       184 |       3321 |             IPython.core.compilerop
import time:       197 |        197 |               IPython.core.error
import time:       116 |        116 |                 IPython.utils.docs
import time:       141 |        257 |               IPython.utils.decorators
import time:       676 |        676 |               IPython.utils.text
import time:       467 |       1596 |             IPython.core.magic_arguments
import time:       171 |        171 |               getopt
import time:       141 |        141 |                     IPython.core.display_functions
import time:        70 |         70 |                         _winapi
import time:        67 |         67 |                         winreg
import time:       297 |        433 |                       mimetypes
import time:       112 |        112 |                         IPython.testing
import time:       169 |        281 |                       IPython.testing.skipdoctest
import time:       596 |       1310 |                     IPython.core.display
import time:       106 |        106 |                       IPython.lib
